InvoiceDate,DailyOrderCount,DailySalesAmount,DailyTotalQuantity
2010-12-01,127,58397.62999999999,26636
2010-12-02,142,47540.40000000001,31205
2010-12-03,68,46780.409999999996,16072
2010-12-05,88,30870.0,16011
2010-12-06,102,54374.69000000004,21463
2010-12-07,84,99326.85999999999,25098
2010-12-08,116,44987.16000000002,22913
2010-12-09,107,53189.87999999999,19779
2010-12-10,77,58175.29000000001,20637
2010-12-12,44,16720.600000000002,10358
2010-12-13,70,37687.86,17606
2010-12-14,90,43939.60999999999,20051
2010-12-15,74,30328.37,18430
2010-12-16,121,48631.71000000002,29193
2010-12-17,66,44838.509999999995,16805
2010-12-19,23,7310.23,3700
2010-12-20,61,26557.999999999993,14871
2010-12-21,55,44397.42000000001,15223
2010-12-22,17,6199.970000000001,3080
2010-12-23,27,12023.53,5749
2011-01-04,36,15977.230000000001,8620
2011-01-05,55,32217.920000000013,19564
2011-01-06,50,40245.05,23074
2011-01-07,53,28827.839999999997,17155
2011-01-09,48,15468.28,8054
2011-01-10,39,24522.47,12839
2011-01-11,58,67961.84000000001,28304
2011-01-12,45,24562.330000000005,10573
2011-01-13,44,20612.789999999997,10171
2011-01-14,47,47482.829999999994,23108
2011-01-16,25,6628.729999999999,3981
2011-01-17,51,29209.269999999993,13344
2011-01-18,41,95785.08000000002,82917
2011-01-19,35,25838.090000000004,17311
2011-01-20,39,21178.899999999994,10462
2011-01-21,39,32571.93,15288
2011-01-23,27,10131.28,5139
2011-01-24,53,25304.339999999997,11866
2011-01-25,67,28832.60999999999,15293
2011-01-26,56,19747.42,10865
2011-01-27,52,23512.749999999996,11207
2011-01-28,40,20037.120000000006,9833
2011-01-30,24,6441.37,3305
2011-01-31,62,23599.809999999998,13392
2011-02-01,63,28995.689999999988,15798
2011-02-02,63,21132.049999999996,9671
2011-02-03,46,23441.63000000001,15702
2011-02-04,52,25101.67,12676
2011-02-06,11,3422.4900000000002,2026
2011-02-07,42,25840.410000000003,9101
2011-02-08,45,20931.930000000008,10098
2011-02-09,29,16675.33,7138
2011-02-10,41,14824.060000000003,11855
2011-02-11,45,22810.029999999995,10510
2011-02-13,20,5561.88,2679
2011-02-14,42,26617.100000000006,13525
2011-02-15,58,39810.98,22634
2011-02-16,63,24752.67,16041
2011-02-17,68,26251.22000000001,14383
2011-02-18,39,16085.360000000004,9087
2011-02-20,26,8937.660000000002,5008
2011-02-21,38,36214.360000000015,21470
2011-02-22,52,32374.699999999997,21837
2011-02-23,63,26767.710000000003,13701
2011-02-24,55,22780.49,11883
2011-02-25,49,20590.09,10570
2011-02-27,33,9310.79,4771
2011-02-28,57,21510.720000000005,9808
2011-03-01,62,25741.06000000001,12096
2011-03-02,43,18638.04,8596
2011-03-03,49,36320.83000000001,20035
2011-03-04,49,19467.15,13539
2011-03-06,27,9816.45,4948
2011-03-07,68,32097.569999999996,13935
2011-03-08,48,24995.02,14519
2011-03-09,53,21869.7,11779
2011-03-10,57,26091.090000000004,15557
2011-03-11,53,25466.28,10518
2011-03-13,16,4097.72,2727
2011-03-14,50,25831.22,16708
2011-03-15,52,23421.09000000001,8905
2011-03-16,52,21692.389999999996,12808
2011-03-17,62,39841.61,20967
2011-03-18,64,28059.23,13908
2011-03-20,60,21786.39000000001,13932
2011-03-21,53,16642.88,10265
2011-03-22,53,31344.81000000001,16500
2011-03-23,63,24072.229999999992,14368
2011-03-24,68,36330.9,18088
2011-03-25,56,31329.859999999997,14065
2011-03-27,32,9118.18,4429
2011-03-28,61,23087.829999999994,12195
2011-03-29,62,70698.79999999999,32797
2011-03-30,75,31792.530000000002,20598
2011-03-31,66,34196.05,16818
2011-04-01,75,25430.410000000003,18388
2011-04-03,20,6858.619999999999,5632
2011-04-04,59,29291.910000000003,13966
2011-04-05,52,30013.419999999995,15539
2011-04-06,40,17311.580000000005,9135
2011-04-07,64,18381.54,10465
2011-04-08,71,25214.859999999997,12956
2011-04-10,32,9831.210000000001,5561
2011-04-11,64,22343.83,13631
2011-04-12,62,25517.079999999998,15299
2011-04-13,60,24437.469999999998,18740
2011-04-14,86,36047.24999999999,18831
2011-04-15,56,28212.371000000003,12491
2011-04-17,42,12557.080000000002,8095
2011-04-18,69,55762.62,29760
2011-04-19,59,24176.610000000004,14399
2011-04-20,63,28656.819999999992,18361
2011-04-21,77,32518.33,18174
2011-04-26,71,30942.67999999999,16101
2011-04-27,65,25888.220000000005,18195
2011-04-28,59,22468.899999999998,13387
2011-05-01,18,6921.110000000001,3792
2011-05-03,66,35133.79,12421
2011-05-04,65,27505.679999999997,17337
2011-05-05,89,29075.179999999993,17407
2011-05-06,82,36061.110000000015,19915
2011-05-08,63,18610.059999999998,10560
2011-05-09,71,27845.69000000001,13338
2011-05-10,96,47657.149999999994,19706
2011-05-11,80,33545.950000000004,18851
2011-05-12,86,61786.390000000014,37730
2011-05-13,73,30571.32000000001,15157
2011-05-15,31,9881.440000000002,4877
2011-05-16,68,39648.73000000001,16018
2011-05-17,82,54984.07,26727
2011-05-18,73,34290.94000000001,18968
2011-05-19,99,35516.969999999994,18092
2011-05-20,71,26561.489999999994,15330
2011-05-22,61,23922.52999999999,12557
2011-05-23,68,34591.75,18156
2011-05-24,68,37520.55999999998,15861
2011-05-25,65,24336.260000000002,13148
2011-05-26,64,33488.529999999984,16263
2011-05-27,64,28363.850000000002,16205
2011-05-29,24,7267.3099999999995,4019
2011-05-31,54,22452.940000000006,11678
2011-06-01,42,20487.47,10873
2011-06-02,52,32754.899999999998,14549
